"area" "region" "zone" "meters" "direction" "con" "floor" "year" "school" "subway" "tax" "num" "price" "meters_cg" "year_cg" "num_cg" "price_cg"
"朝阳" "光熙家园三期" "1室0厅" 40 "西" "西坝河二手房" "低楼层" 2012 "无学区" "无地铁" "非免税" 240 60000 "0~50" "10~15" "2~3" "5~6万"
"海淀" "中关村科技会展中心" "1室0厅" 97 "南" "双榆树二手房" "低楼层" 1999 "无学区" "有地铁" "非免税" 430 44330 "50~100" "95~00" "4~5" "4~5万"
"顺义" "智地香蜜湾" "2室2厅" 89 "西北" "后沙峪二手房" "中楼层" 2008 "无学区" "无地铁" "非免税" 200 22472 "50~100" "05~10" "1~2" "2~3万"
"东城" "兴隆都市馨园" "1室1厅" 52 "南" "崇文门二手房" "高楼层" 2004 "有学区" "有地铁" "非免税" 298 56590 "50~100" "00~05" "2~3" "5~6万"
"朝阳" "兴隆家园" "3室2厅" 135 "南" "高碑店二手房" "低楼层" 2003 "无学区" "有地铁" "非免税" 470 34772 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "水郡长安" "5室2厅" 307 "南北" "双桥二手房" "低楼层" 2006 "无学区" "有地铁" "非免税" 988 32140 ">200" "05~10" "9~10" "3~4万"
"丰台" "洋桥东里" "2室1厅" 59 "南" "洋桥二手房" "高楼层" 1995 "无学区" "无地铁" "满五年唯一" 222 37628 "50~100" "95~00" "2~3" "3~4万"
"朝阳" "万科青青家园" "3室2厅" 122 "南北" "豆各庄二手房" "中楼层" 2004 "无学区" "无地铁" "满五年唯一" 350 28689 "100~150" "00~05" "3~4" "2~3万"
"朝阳" "朝丰家园" "3室2厅" 111 "南北" "豆各庄二手房" "高楼层" 2009 "无学区" "无地铁" "非免税" 229 20631 "100~150" "05~10" "2~3" "2~3万"
"朝阳" "星河湾" "3室2厅" 247 "南北" "朝青二手房" "低楼层" 2005 "无学区" "有地铁" "非免税" 1280 51649 ">200" "05~10" ">10" "5~6万"
"顺义" "万科四季花城" "3室2厅" 116 "南北" "顺义城二手房" "低楼层" 2008 "无学区" "无地铁" "非免税" 410 35345 "100~150" "05~10" "4~5" "3~4万"
"西城" "丽泽雅园" "3室2厅" 139 "东南" "马连道二手房" "中楼层" 2004 "无学区" "有地铁" "非免税" 600 43166 "100~150" "00~05" "5~6" "4~5万"
"朝阳" "水郡长安" "5室2厅" 286 "南北" "双桥二手房" "低楼层" 2006 "无学区" "有地铁" "非免税" 790 27623 ">200" "05~10" "7~8" "2~3万"
"丰台" "新华街六里" "2室1厅" 63 "南北" "看丹桥二手房" "高楼层" 1995 "无学区" "有地铁" "满五年唯一" 209 32708 "50~100" "95~00" "2~3" "3~4万"
"东城" "富莱茵花园" "2室2厅" 136 "西南" "永定门二手房" "高楼层" 2000 "无学区" "有地铁" "非免税" 430 31556 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "北京华侨城2号院" "4室2厅" 270 "南北" "垡头二手房" "中楼层" 2009 "无学区" "有地铁" "非免税" 1100 40741 ">200" "05~10" ">10" "4~5万"
"石景山" "六合园" "3室2厅" 110 "南北" "鲁谷二手房" "高楼层" 1995 "无学区" "无地铁" "满五年唯一" 310 28182 "100~150" "95~00" "3~4" "2~3万"
"海淀" "北洼西里" "2室1厅" 54 "南北" "紫竹桥二手房" "高楼层" 1988 "有学区" "有地铁" "非免税" 290 53605 "50~100" "<1990" "2~3" "5~6万"
"朝阳" "美利山" "1室1厅" 65 "东西" "百子湾二手房" "低楼层" 2009 "无学区" "有地铁" "满五年唯一" 240 36541 "50~100" "05~10" "2~3" "3~4万"
"海淀" "橡树湾" "4室2厅" 177 "南北" "清河二手房" "高楼层" 2012 "无学区" "无地铁" "非免税" 1150 64972 "150~200" "10~15" ">10" "6~7万"
"昌平" "龙跃苑三区" "3室2厅" 169 "南" "回龙观二手房" "高楼层" 2005 "无学区" "有地铁" "非免税" 345 20347 "150~200" "05~10" "3~4" "2~3万"
"朝阳" "阳光上东" "4室2厅" 246 "东南北" "酒仙桥二手房" "高楼层" 2007 "无学区" "无地铁" "非免税" 1300 52846 ">200" "05~10" ">10" "5~6万"
"海淀" "交大东路15号院" "4室1厅" 184 "西北" "西直门二手房" "高楼层" 1992 "无学区" "无地铁" "非免税" 950 51631 "150~200" "90~95" "9~10" "5~6万"
"朝阳" "远洋新干线" "4室2厅" 203 "西南" "燕莎二手房" "高楼层" 2005 "无学区" "有地铁" "非免税" 760 37288 ">200" "05~10" "7~8" "3~4万"
"朝阳" "泛海国际6D" "3室2厅" 185 "南北" "朝阳公园二手房" "高楼层" 2005 "无学区" "无地铁" "非免税" 1100 59284 "150~200" "05~10" ">10" "5~6万"
"朝阳" "富力又一城A区" "2室2厅" 99 "东" "豆各庄二手房" "低楼层" 2007 "有学区" "无地铁" "非免税" 285 28638 "50~100" "05~10" "2~3" "2~3万"
"丰台" "紫芳园三区" "1室1厅" 68 "北" "方庄二手房" "低楼层" 2000 "无学区" "有地铁" "满五年唯一" 320 46648 "50~100" "00~05" "3~4" "4~5万"
"石景山" "依翠园" "2室1厅" 104 "南北" "鲁谷二手房" "中楼层" 2003 "无学区" "无地铁" "满五年唯一" 415 39600 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "拂林园" "2室1厅" 115 "南" "北苑二手房" "低楼层" 2000 "无学区" "有地铁" "非免税" 430 37240 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "九龙花园" "2室1厅" 96 "南北" "双井二手房" "低楼层" 1998 "无学区" "有地铁" "非免税" 365 37766 "50~100" "95~00" "3~4" "3~4万"
"朝阳" "万科青青家园" "3室2厅" 179 "南北" "豆各庄二手房" "中楼层" 2002 "无学区" "无地铁" "非免税" 420 23464 "150~200" "00~05" "4~5" "2~3万"
"朝阳" "泰华滨河苑" "3室2厅" 145 "南北" "朝阳公园二手房" "高楼层" 2005 "无学区" "无地铁" "非免税" 500 34483 "100~150" "05~10" "4~5" "3~4万"
"海淀" "保利西山林语" "4室2厅" 166 "东南北" "海淀北部新区二手房" "中楼层" 2012 "无学区" "无地铁" "非免税" 660 39760 "150~200" "10~15" "6~7" "3~4万"
"朝阳" "九台2000家园" "3室2厅" 170 "东南" "亚运村二手房" "低楼层" 2000 "无学区" "有地铁" "非免税" 600 35276 "150~200" "00~05" "5~6" "3~4万"
"朝阳" "华贸城" "2室1厅" 66 "南北" "北苑二手房" "高楼层" 2009 "有学区" "无地铁" "非免税" 340 51516 "50~100" "05~10" "3~4" "5~6万"
"亦庄" "莲水怡园" "1室1厅" 58 "南北" "马驹桥二手房" "低楼层" 2003 "无学区" "无地铁" "满五年唯一" 130 22098 "50~100" "00~05" "1~2" "2~3万"
"朝阳" "后现代城" "1室1厅" 69 "北" "大望路二手房" "高楼层" 2006 "无学区" "有地铁" "满五年唯一" 275 39752 "50~100" "05~10" "2~3" "3~4万"
"昌平" "天通苑本六区" "2室2厅" 93 "南北" "天通苑二手房" "中楼层" 2001 "无学区" "无地铁" "满五年唯一" 225 24194 "50~100" "00~05" "2~3" "2~3万"
"昌平" "天通苑东二区" "2室1厅" 98 "东北" "天通苑二手房" "中楼层" 2002 "无学区" "无地铁" "满五年唯一" 216 21889 "50~100" "00~05" "2~3" "2~3万"
"石景山" "御景山" "3室2厅" 141 "南北" "杨庄二手房" "高楼层" 2003 "无学区" "无地铁" "非免税" 435 30784 "100~150" "00~05" "4~5" "3~4万"
"朝阳" "美伦堡" "3室2厅" 157 "南北" "奥林匹克公园二手房" "中楼层" 2007 "无学区" "无地铁" "非免税" 910 57903 "150~200" "05~10" "9~10" "5~6万"
"昌平" "龙跃苑东五区" "2室1厅" 98 "南北" "回龙观二手房" "中楼层" 2006 "无学区" "有地铁" "满五年唯一" 296 30205 "50~100" "05~10" "2~3" "3~4万"
"海淀" "美丽西园" "2室1厅" 76 "西" "四季青二手房" "低楼层" 2000 "有学区" "有地铁" "满五年唯一" 325 42668 "50~100" "00~05" "3~4" "4~5万"
"海淀" "清缘里" "2室2厅" 99 "南北" "清河二手房" "低楼层" 2000 "有学区" "有地铁" "非免税" 340 34035 "50~100" "00~05" "3~4" "3~4万"
"朝阳" "小黄庄前街13号院" "3室1厅" 77 "东西" "安贞二手房" "中楼层" 1994 "有学区" "有地铁" "非免税" 350 45075 "50~100" "90~95" "3~4" "4~5万"
"大兴" "滨河西里" "3室1厅" 76 "南北" "枣园二手房" "高楼层" 1992 "无学区" "无地铁" "满五年唯一" 178 23275 "50~100" "90~95" "1~2" "2~3万"
"昌平" "风雅园一区" "2室2厅" 95 "南北" "回龙观二手房" "中楼层" 2000 "无学区" "有地铁" "满五年唯一" 270 28335 "50~100" "00~05" "2~3" "2~3万"
"朝阳" "九龙花园" "2室1厅" 104 "西" "双井二手房" "高楼层" 2002 "无学区" "有地铁" "满五年唯一" 370 35465 "100~150" "00~05" "3~4" "3~4万"
"昌平" "旺龙花园" "3室1厅" 120 "南北" "霍营二手房" "高楼层" 2005 "无学区" "有地铁" "满五年唯一" 250 20834 "100~150" "05~10" "2~3" "2~3万"
"东城" "西革新里112号院" "2室1厅" 71 "东" "西罗园二手房" "高楼层" 2000 "无学区" "有地铁" "满五年唯一" 225 31482 "50~100" "00~05" "2~3" "3~4万"
"丰台" "天伦锦城" "2室1厅" 84 "东" "花乡二手房" "中楼层" 2005 "无学区" "无地铁" "满五年唯一" 248 29524 "50~100" "05~10" "2~3" "2~3万"
"丰台" "宝汇苑" "2室1厅" 80 "南" "西罗园二手房" "中楼层" 2002 "无学区" "无地铁" "非免税" 248 30896 "50~100" "00~05" "2~3" "3~4万"
"石景山" "西成忆树" "3室2厅" 134 "南北" "杨庄二手房" "低楼层" 2004 "无学区" "无地铁" "非免税" 470 34937 "100~150" "00~05" "4~5" "3~4万"
"亦庄" "融科香雪兰溪" "2室2厅" 80 "西南" "马驹桥二手房" "低楼层" 2009 "无学区" "无地铁" "非免税" 156 19479 "50~100" "05~10" "1~2" "1~2万"
"丰台" "新华街六里" "3室1厅" 77 "南北" "看丹桥二手房" "中楼层" 1995 "无学区" "有地铁" "满五年唯一" 242 31429 "50~100" "95~00" "2~3" "3~4万"
"丰台" "冠军楼" "3室1厅" 102 "东南北" "木樨园二手房" "低楼层" 2000 "无学区" "无地铁" "满五年唯一" 310 30133 "100~150" "00~05" "3~4" "3~4万"
"海淀" "静淑苑" "2室1厅" 67 "南北" "学院路二手房" "中楼层" 1997 "无学区" "有地铁" "非免税" 393 58570 "50~100" "95~00" "3~4" "5~6万"
"东城" "和平新城一期" "2室1厅" 126 "西北" "和平里二手房" "中楼层" 2001 "有学区" "有地铁" "非免税" 710 56180 "100~150" "00~05" "7~8" "5~6万"
"大兴" "清源西里" "2室1厅" 72 "南北" "枣园二手房" "高楼层" 1992 "无学区" "有地铁" "满五年唯一" 165 22668 "50~100" "90~95" "1~2" "2~3万"
"通州" "天赐良园东三期" "2室2厅" 89 "南北" "北关二手房" "低楼层" 2004 "无学区" "有地铁" "满五年唯一" 240 26759 "50~100" "00~05" "2~3" "2~3万"
"东城" "巷上嘉园" "2室2厅" 99 "东南" "安定门二手房" "低楼层" 2004 "有学区" "有地铁" "非免税" 628 63211 "50~100" "00~05" "6~7" "6~7万"
"昌平" "东亚上北中心" "1室1厅" 57 "北" "回龙观二手房" "低楼层" 2006 "无学区" "无地铁" "满五年唯一" 130 22808 "50~100" "05~10" "1~2" "2~3万"
"通州" "紫荆园" "2室2厅" 88 "南北" "武夷花园二手房" "中楼层" 2003 "无学区" "无地铁" "满五年唯一" 230 26137 "50~100" "00~05" "2~3" "2~3万"
"朝阳" "华盛乐章" "2室2厅" 121 "南" "健翔桥二手房" "中楼层" 2001 "无学区" "无地铁" "非免税" 485 40077 "100~150" "00~05" "4~5" "4~5万"
"昌平" "龙跃苑四区" "2室1厅" 90 "南北" "回龙观二手房" "低楼层" 2005 "无学区" "无地铁" "满五年唯一" 255 28205 "50~100" "05~10" "2~3" "2~3万"
"朝阳" "国美第一城3号院" "2室2厅" 93 "西南" "朝青二手房" "低楼层" 2006 "无学区" "无地铁" "满五年唯一" 360 38710 "50~100" "05~10" "3~4" "3~4万"
"海淀" "知春东里" "3室1厅" 84 "南西北" "双榆树二手房" "低楼层" 1992 "有学区" "有地铁" "满五年唯一" 580 69048 "50~100" "90~95" "5~6" "6~7万"
"朝阳" "都城心屿" "2室1厅" 77 "东" "劲松二手房" "中楼层" 2008 "无学区" "有地铁" "满五年唯一" 335 43344 "50~100" "05~10" "3~4" "4~5万"
"西城" "丰汇园小区" "3室1厅" 73 "南北" "金融街二手房" "高楼层" 1998 "有学区" "有地铁" "满五年唯一" 1033 139973 "50~100" "95~00" ">10" ">10万"
"朝阳" "沿海赛洛城" "1室1厅" 66 "东西" "百子湾二手房" "中楼层" 2008 "无学区" "有地铁" "满五年唯一" 250 37674 "50~100" "05~10" "2~3" "3~4万"
"昌平" "天鑫家园" "2室1厅" 78 "东南" "霍营二手房" "高楼层" 2003 "无学区" "无地铁" "满五年唯一" 238 30327 "50~100" "00~05" "2~3" "3~4万"
"海淀" "紫金新干线" "3室2厅" 133 "南北" "霍营二手房" "低楼层" 2009 "无学区" "无地铁" "满五年唯一" 385 28948 "100~150" "05~10" "3~4" "2~3万"
"东城" "青年湖北街" "2室1厅" 72 "南" "安定门二手房" "低楼层" 1998 "有学区" "无地铁" "满五年唯一" 450 62052 "50~100" "95~00" "4~5" "6~7万"
"西城" "广安小区" "3室1厅" 135 "南北" "广安门二手房" "中楼层" 1997 "有学区" "无地铁" "满五年唯一" 550 40510 "100~150" "95~00" "5~6" "4~5万"
"西城" "依莲轩" "2室2厅" 107 "南" "马连道二手房" "低楼层" 2005 "无学区" "有地铁" "满五年唯一" 520 48562 "100~150" "05~10" "5~6" "4~5万"
"顺义" "万科四季花城" "2室2厅" 94 "南北" "顺义城二手房" "低楼层" 2006 "无学区" "无地铁" "满五年唯一" 275 29206 "50~100" "05~10" "2~3" "2~3万"
"丰台" "京品小区" "3室2厅" 115 "南北" "西罗园二手房" "高楼层" 2006 "无学区" "有地铁" "满五年唯一" 500 43479 "100~150" "05~10" "4~5" "4~5万"
"东城" "花市枣苑一期" "2室1厅" 108 "南" "东花市二手房" "中楼层" 2001 "有学区" "有地铁" "满五年唯一" 675 62339 "100~150" "00~05" "6~7" "6~7万"
"朝阳" "安慧北里逸园" "2室1厅" 111 "东北" "亚运村二手房" "高楼层" 2001 "有学区" "有地铁" "满五年唯一" 390 35136 "100~150" "00~05" "3~4" "3~4万"
"东城" "光明楼" "3室0厅" 69 "南北" "广渠门二手房" "高楼层" 1987 "有学区" "无地铁" "满五年唯一" 355 51360 "50~100" "<1990" "3~4" "5~6万"
"朝阳" "望京西园三区" "1室1厅" 87 "南" "望京二手房" "高楼层" 2000 "无学区" "有地铁" "满五年唯一" 320 36547 "50~100" "00~05" "3~4" "3~4万"
"朝阳" "珠江绿洲" "2室1厅" 98 "西南" "双桥二手房" "低楼层" 2003 "有学区" "有地铁" "满五年唯一" 295 30103 "50~100" "00~05" "2~3" "3~4万"
"海淀" "清枫华景园" "3室2厅" 140 "南北" "学院路二手房" "中楼层" 2005 "无学区" "无地铁" "满五年唯一" 850 60327 "100~150" "05~10" "8~9" "6~7万"
"昌平" "龙锦苑东二区" "3室2厅" 134 "南北" "霍营二手房" "低楼层" 2007 "无学区" "有地铁" "满五年唯一" 305 22637 "100~150" "05~10" "3~4" "2~3万"
"通州" "巴克寓所" "2室2厅" 129 "南北" "果园二手房" "低楼层" 2004 "无学区" "无地铁" "满五年唯一" 365 28114 "100~150" "00~05" "3~4" "2~3万"
"西城" "西直门南大街" "3室1厅" 79 "东北" "官园二手房" "低楼层" 1989 "有学区" "有地铁" "满五年唯一" 530 67004 "50~100" "<1990" "5~6" "6~7万"
"朝阳" "芍药居北里" "3室1厅" 87 "东南" "芍药居二手房" "高楼层" 1998 "无学区" "无地铁" "满五年唯一" 460 52315 "50~100" "95~00" "4~5" "5~6万"
"朝阳" "金地名京" "2室2厅" 89 "东南" "四惠二手房" "高楼层" 2009 "无学区" "有地铁" "满五年唯一" 430 48315 "50~100" "05~10" "4~5" "4~5万"
"海淀" "华盛家园" "4室2厅" 175 "南西北" "牡丹园二手房" "中楼层" 2001 "有学区" "有地铁" "满五年唯一" 900 51429 "150~200" "00~05" "8~9" "5~6万"
"海淀" "甘家口小区" "2室1厅" 68 "南北" "甘家口二手房" "高楼层" 1997 "无学区" "有地铁" "满五年唯一" 400 58566 "50~100" "95~00" "3~4" "5~6万"
"石景山" "七星园" "2室1厅" 70 "南北" "鲁谷二手房" "低楼层" 1995 "无学区" "有地铁" "满五年唯一" 245 34669 "50~100" "95~00" "2~3" "3~4万"
"朝阳" "宝星国际二期" "1室1厅" 80 "西北" "望京二手房" "中楼层" 2006 "无学区" "无地铁" "满五年唯一" 365 45449 "50~100" "05~10" "3~4" "4~5万"
"西城" "西黄城根南街一区" "2室1厅" 51 "西南" "西单二手房" "中楼层" 1986 "有学区" "有地铁" "满五年唯一" 520 100193 "50~100" "<1990" "5~6" ">10万"
"朝阳" "万科星园" "3室2厅" 133 "西北" "北苑二手房" "高楼层" 2003 "无学区" "有地铁" "满五年唯一" 640 47790 "100~150" "00~05" "6~7" "4~5万"
"昌平" "回南家园" "3室1厅" 120 "南北" "天通苑二手房" "中楼层" 2000 "无学区" "无地铁" "非免税" 225 18750 "100~150" "00~05" "2~3" "1~2万"
"通州" "幸福艺居" "1室1厅" 51 "南北" "玉桥二手房" "低楼层" 2005 "无学区" "无地铁" "非免税" 140 27334 "50~100" "05~10" "1~2" "2~3万"
"房山" "燕化星城建德四里" "2室1厅" 87 "西南" "房山其它二手房" "高楼层" 2008 "无学区" "无地铁" "非免税" 145 16667 "50~100" "05~10" "1~2" "1~2万"
"朝阳" "华展国际公寓" "4室1厅" 205 "东西" "马甸二手房" "低楼层" 2000 "无学区" "有地铁" "非免税" 800 39025 ">200" "00~05" "7~8" "3~4万"
"燕郊" "金玉源" "2室1厅" 92 "南北" "燕郊城区二手房" "中楼层" 2010 "无学区" "无地铁" "非免税" 120 13044 "50~100" "10~15" "1~2" "1~2万"
"东城" "光明楼" "2室1厅" 57 "南北" "广渠门二手房" "中楼层" 1987 "有学区" "无地铁" "非免税" 300 52632 "50~100" "<1990" "2~3" "5~6万"
"朝阳" "金都杭城东区" "3室2厅" 135 "南北" "百子湾二手房" "低楼层" 2008 "有学区" "有地铁" "非免税" 650 48149 "100~150" "05~10" "6~7" "4~5万"
"通州" "通典铭居" "3室2厅" 146 "西南" "通州北苑二手房" "中楼层" 2004 "无学区" "有地铁" "非免税" 300 20450 "100~150" "00~05" "2~3" "2~3万"
"大兴" "枣园小区" "2室2厅" 71 "南北" "枣园二手房" "低楼层" 1996 "无学区" "有地铁" "非免税" 180 25353 "50~100" "95~00" "1~2" "2~3万"
"朝阳" "花家地小区" "1室1厅" 43 "南" "望京二手房" "低楼层" 1992 "无学区" "有地铁" "非免税" 195 45349 "0~50" "90~95" "1~2" "4~5万"
"昌平" "龙腾苑二区" "3室2厅" 146 "南北" "回龙观二手房" "低楼层" 2003 "无学区" "无地铁" "非免税" 430 29310 "100~150" "00~05" "4~5" "2~3万"
"大兴" "宇丰苑" "2室1厅" 114 "南北" "观音寺二手房" "中楼层" 2007 "无学区" "无地铁" "非免税" 207 18022 "100~150" "05~10" "2~3" "1~2万"
"海淀" "北洼西里" "2室2厅" 71 "东南" "紫竹桥二手房" "高楼层" 1989 "有学区" "有地铁" "非免税" 390 54930 "50~100" "<1990" "3~4" "5~6万"
"房山" "绿城百合公寓霁雪苑" "3室2厅" 119 "南北" "房山其它二手房" "低楼层" 2006 "无学区" "无地铁" "非免税" 185 15547 "100~150" "05~10" "1~2" "1~2万"
"朝阳" "健翔国际公寓" "1室0厅" 68 "东" "健翔桥二手房" "高楼层" 2005 "无学区" "有地铁" "非免税" 315 45986 "50~100" "05~10" "3~4" "4~5万"
"昌平" "北环里小区" "1室1厅" 54 "南北" "鼓楼大街二手房" "中楼层" 1987 "无学区" "有地铁" "非免税" 96 17726 "50~100" "<1990" "0~1" "1~2万"
"燕郊" "福城上上城二季" "2室1厅" 91 "南北" "燕郊城区二手房" "中楼层" 2010 "无学区" "无地铁" "非免税" 125 13737 "50~100" "10~15" "1~2" "1~2万"
"通州" "古韵新居" "1室1厅" 50 "南" "潞苑二手房" "高楼层" 2009 "无学区" "无地铁" "非免税" 100 20000 "0~50" "05~10" "0~1" "1~2万"
"通州" "鑫苑小区" "1室1厅" 66 "南北" "通州北苑二手房" "高楼层" 2002 "无学区" "有地铁" "非免税" 190 28645 "50~100" "00~05" "1~2" "2~3万"
"燕郊" "星河皓月" "2室1厅" 104 "南北" "燕郊城区二手房" "地下室" 2007 "无学区" "无地铁" "非免税" 70 6731 "100~150" "05~10" "0~1" "0~1万"
"石景山" "模式口中里" "2室1厅" 63 "南北" "苹果园二手房" "高楼层" 1999 "无学区" "无地铁" "非免税" 175 27778 "50~100" "95~00" "1~2" "2~3万"
"东城" "禾风相府" "1室0厅" 38 "西" "金宝街二手房" "中楼层" 2004 "无学区" "有地铁" "非免税" 308 81053 "0~50" "00~05" "3~4" "8~9万"
"顺义" "石园北区" "3室1厅" 124 "东北" "顺义城二手房" "低楼层" 2003 "无学区" "无地铁" "非免税" 200 16130 "100~150" "00~05" "1~2" "1~2万"
"丰台" "刘家村126号院" "4室1厅" 87 "南北" "玉泉营二手房" "高楼层" 1995 "无学区" "有地铁" "非免税" 280 32184 "50~100" "95~00" "2~3" "3~4万"
"房山" "羊耳峪南里" "2室1厅" 60 "东南" "房山其它二手房" "高楼层" 2010 "无学区" "无地铁" "非免税" 50 8334 "50~100" "10~15" "0~1" "0~1万"
"朝阳" "东一时区" "4室2厅" 180 "南北" "双桥二手房" "中楼层" 2004 "有学区" "无地铁" "非免税" 415 22941 "150~200" "00~05" "4~5" "2~3万"
"东城" "花市枣苑一期" "4室2厅" 207 "东南" "东花市二手房" "高楼层" 2001 "有学区" "有地铁" "非免税" 1200 57955 ">200" "00~05" ">10" "5~6万"
"房山" "加州水郡四期" "2室1厅" 88 "西南" "长阳二手房" "低楼层" 2009 "无学区" "无地铁" "非免税" 185 21023 "50~100" "05~10" "1~2" "2~3万"
"房山" "西潞园三里" "3室2厅" 103 "东南北" "良乡二手房" "高楼层" 1996 "无学区" "无地铁" "非免税" 205 19826 "100~150" "95~00" "2~3" "1~2万"
"西城" "瑞莲家园" "2室1厅" 99 "西南" "马连道二手房" "低楼层" 2001 "有学区" "无地铁" "满五年唯一" 358 36162 "50~100" "00~05" "3~4" "3~4万"
"丰台" "枫竹苑二区" "2室1厅" 91 "南" "马家堡二手房" "中楼层" 2000 "无学区" "有地铁" "满五年唯一" 358 39113 "50~100" "00~05" "3~4" "3~4万"
"大兴" "宏大北园" "3室1厅" 145 "东西" "西红门二手房" "低楼层" 2006 "无学区" "无地铁" "满五年唯一" 280 19280 "100~150" "05~10" "2~3" "1~2万"
